Comment,Designator

BATTERYBK-912,BAT1
BATTERYBK-912,BAT2
BATTERYBK-912,BAT3
BATTERYBK-912,BAT4
BATTERYBK-912,BAT5
GS1500M,WIFI
HDR-1X2JST-PH-H,BATT
